IOCode,Name
111CA,Farms
113FF,Forestry_fishing_related_activities
211,Oil_gas_extraction
212,Mining_except_oil_gas
213,Support_activities_for_mining
22,Utilities
23,Construction
321,Wood_products
327,Nonmetallic_mineral_products
331,Primary_metals
332,Fabricated_metal_products
333,Machinery
334,Computer_electronic_products
335,Electrical_equipment_appliances_components
3361MV,Motor_vehicles_bodies_trailers_parts
3364OT,Other_transportation_equipment
337,Furniture_related_products
339,Miscellaneous_manufacturing
311FT,Food_beverage_tobacco_products
313TT,Textile_mills_textile_product_mills
315AL,Apparel_leather_allied_products
322,Paper_products
323,Printing_related_support_activities
324,Petroleum_coal_products
325,Chemical_products
326,Plastics_rubber_products
42,Wholesale_trade
441,Motor_vehicle_parts_dealers
445,Food_beverage_stores
452,General_merchise_stores
4A0,Other_retail
481,Air_transportation
482,Rail_transportation
483,Water_transportation
484,Truck_transportation
485,Transit_ground_passenger_transportation
486,Pipeline_transportation
487OS,Other_transportation_support_activities
493,Warehousing_storage
511,Publishing_industries_except_internet_(includes_software)
512,Motion_picture_sound_recording_industries
513,Broadcasting_telecommunications
514,Data_processing_internet_publishing_other_information_services
521CI,Federal_Reserve_banks_credit_intermediation_related_activities
523,Securities_commodity_contracts_investments
524,Insurance_carriers_related_activities
525,Funds_trusts_other_financial_vehicles
HS,Housing
ORE,Other_real_estate
532RL,Rental_leasing_services_lessors_of_intangible_assets
5411,Legal_services
5415,Computer_systems_design_related_services
5412OP,Miscellaneous_professional_scientific_technical_services
55,Management_of_companies_enterprises
561,Administrative_support_services
562,Waste_management_remediation_services
61,Educational_services
621,Ambulatory_health_care_services
622,Hospitals
623,Nursing_residential_care_facilities
624,Social_assistance
711AS,Performing_arts_spectator_sports_museums_related_activities
713,Amusements_gambling_recreation_industries
721,Accommodation
722,Food_services_drinking_places
81,Other_services_except_government
GFGD,Federal_general_government_(defense)
GFGN,Federal_general_government_(nondefense)
GFE,Federal_government_enterprises
GSLG,State_local_general_government
GSLE,State_local_government_enterprises
Other,Noncomparable_imports_rest-of-the-world_adjustment
Used,Scrap_used_secondh_goods
T017,Total_industry_supply
