Product,Agriculture,Forestry and fishing,Coal extraction etc,Extraction of oil and gas,Mineral oil processing,Electricity etc,Gas,Water,Extraction of metal ores etc,Iron and steel etc,Aluminium etc,Other non-ferrous metals,Extraction of stone etc,Clay products,Cement etc,Concrete etc,Glass,Refractory and ceramic goods,Inorganic chemicals,Organic chemicals,Fertilisers,Synthetic resins etc,"Paints, dyes etc",Special chemicals,Pharmaceuticals,Soap and toiletries,Chemical products nes,Man-made fibres,Metal castings etc,"Metal doors, windows etc",Metal packaging products,Metal goods nes,Industrial plant and steelwork,Agricultural machinery etc,Machine tools,Engineers small tools,Textile etc machinery,Processing machinery etc,Mining etc equipment,Mech power transmission equip,Other machinery etc,Ordnance etc,"Office machinery, computers etc",Insulated wires and cables,Basic electrical equipment,Industrial electrical equipment,Telecommunication etc equipment,Electronic components,Electronic consumers goods etc,Domestic electric appliances,Electric lighting equipment,Motor Vehicles and parts,Shipbuilding and repairing,Aerospace etc,Other vehicles,Instrument engineering,Oils and fats,Slaughtering and meat processing,Milk and milk products,"Fruit, veg and fish processing",Grain milling and starch,"Bread, biscuits etc",Sugar,Confectionery,Animal feeding stuffs,Miscellaneous foods,Alcoholic drink,Soft drinks,Tobacco,Woollen and worsted,Cotton etc spinning and weaving,Hosiery and other knitted goods,Textile finishing,Carpets etc,Jute etc,Leather and leather goods,Footwear,Clothing and furs,Household and other textiles,Timber and wood products,Wooden furniture etc,"Pulp, paper and board",Paper and board products,Printing and publishing,Rubber products,Processing of plastics,Other manufacturing,Construction,Distribution etc,"Hotels, catering etc",Railways,Road transport etc,Sea transport,Air transport,Transport services,Postal services,Telecommunications,Banking and finance,Insurance,Business services etc,Other services,Public administration etc,Adjusts,Total,Consumers' expenditure,GGFC,GDFCF,Stocks,Exports,TOTAL Final Demand,TOTAL
Agriculture,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,3047.0,1999.0,187.0,710.0,22.0,210.0,293.0,652.0,312.0,532.0,24.0,40.0,15.0,6.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,5.0,2.0,0.0,23.0,0.0,0.0,17.0,0.0,1.0,0.0,165.0,147.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,10985.0,1990.0,113.0,0.0,24.0,1262.0,3390.0,14375.0
Forestry and fishing,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,162.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,228.0,11.0,0.0,2.0,97.0,337.0,744.0
Coal extraction etc,2.0,0.0,87.0,0.0,0.0,1147.0,1.0,1.0,0.0,345.0,6.0,16.0,0.0,7.0,91.0,24.0,0.0,5.0,32.0,25.0,0.0,6.0,10.0,7.0,2.0,1.0,0.0,6.0,25.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,9.0,4.0,2.0,1.0,5.0,1.0,0.0,4.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,4.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,415.0,98.0,0.0,-742.0,87.0,-142.0,1830.0
Extraction of oil and gas,0.0,0.0,0.0,862.0,7135.0,0.0,1936.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9935.0,0.0,0.0,0.0,0.0,12574.0,12574.0,22509.0
Mineral oil processing,293.0,22.0,15.0,0.0,1072.0,3233.0,10.0,3.0,3.0,15.0,5.0,3.0,5.0,6.0,4.0,53.0,8.0,2.0,15.0,874.0,26.0,232.0,13.0,14.0,7.0,4.0,3.0,3.0,6.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,9.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,16.0,4.0,9.0,2.0,1.0,2.0,7.0,9.0,3.0,2.0,6.0,4.0,2.0,5.0,4.0,17.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,5.0,5.0,5.0,7.0,7.0,4.0,6.0,2.0,300.0,612.0,22.0,73.0,655.0,136.0,613.0,6.0,23.0,38.0,16.0,8.0,58.0,45.0,0.0,0.0,8752.0,1706.0,1062.0,0.0,-272.0,3643.0,6140.0,14892.0
Electricity etc,99.0,12.0,262.0,0.0,58.0,873.0,16.0,114.0,15.0,213.0,58.0,59.0,11.0,21.0,56.0,87.0,45.0,22.0,26.0,186.0,48.0,49.0,27.0,106.0,42.0,14.0,6.0,28.0,104.0,4.0,17.0,39.0,27.0,8.0,7.0,11.0,10.0,11.0,20.0,17.0,66.0,9.0,13.0,19.0,23.0,20.0,34.0,33.0,6.0,10.0,7.0,132.0,37.0,47.0,9.0,13.0,13.0,35.0,34.0,24.0,22.0,36.0,3.0,27.0,32.0,32.0,55.0,7.0,10.0,21.0,27.0,15.0,15.0,8.0,10.0,4.0,5.0,17.0,4.0,34.0,22.0,71.0,61.0,76.0,41.0,102.0,16.0,155.0,1004.0,220.0,144.0,25.0,12.0,22.0,12.0,69.0,81.0,190.0,81.0,164.0,87.0,0.0,0.0,6439.0,4568.0,672.0,25.0,8.0,401.0,5674.0,12113.0
Gas,89.0,3.0,7.0,0.0,2.0,69.0,211.0,1.0,5.0,115.0,16.0,20.0,0.0,38.0,13.0,22.0,55.0,38.0,38.0,103.0,25.0,13.0,12.0,19.0,12.0,5.0,2.0,7.0,60.0,1.0,12.0,21.0,10.0,4.0,2.0,5.0,4.0,3.0,8.0,7.0,23.0,7.0,3.0,5.0,10.0,8.0,10.0,7.0,3.0,4.0,3.0,65.0,5.0,21.0,4.0,5.0,9.0,7.0,9.0,9.0,5.0,33.0,21.0,6.0,6.0,19.0,51.0,1.0,3.0,2.0,2.0,6.0,11.0,3.0,3.0,2.0,1.0,6.0,2.0,8.0,5.0,68.0,20.0,19.0,17.0,25.0,6.0,75.0,544.0,151.0,34.0,7.0,8.0,10.0,14.0,23.0,22.0,215.0,80.0,96.0,64.0,0.0,0.0,2984.0,3426.0,371.0,0.0,0.0,3.0,3800.0,6784.0
Water,82.0,5.0,0.0,0.0,27.0,78.0,0.0,48.0,0.0,34.0,6.0,5.0,0.0,3.0,2.0,35.0,6.0,3.0,26.0,27.0,11.0,8.0,5.0,8.0,11.0,6.0,2.0,7.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,12.0,15.0,17.0,5.0,5.0,2.0,9.0,11.0,18.0,1.0,3.0,5.0,2.0,1.0,4.0,16.0,4.0,0.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,10.0,2.0,3.0,0.0,24.0,107.0,15.0,2.0,3.0,1.0,1.0,10.0,3.0,6.0,27.0,8.0,26.0,36.0,0.0,0.0,914.0,470.0,172.0,0.0,0.0,0.0,641.0,1556.0
Extraction of metal ores etc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,85.0,38.0,33.0,0.0,0.0,0.0,6.0,0.0,16.0,23.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,21.0,0.0,-94.0,82.0,9.0,289.0
Iron and steel etc,5.0,0.0,195.0,21.0,0.0,11.0,16.0,7.0,1.0,1600.0,2.0,179.0,0.0,0.0,0.0,30.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,360.0,27.0,347.0,340.0,256.0,38.0,18.0,47.0,31.0,42.0,173.0,51.0,311.0,21.0,19.0,24.0,74.0,31.0,22.0,14.0,0.0,59.0,16.0,406.0,66.0,22.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.0,1.0,6.0,1.0,49.0,15.0,17.0,468.0,0.0,0.0,29.0,52.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5654.0,0.0,13.0,0.0,16.0,1594.0,1622.0,7276.0
Aluminium etc,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,35.0,188.0,12.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,65.0,71.0,119.0,58.0,17.0,0.0,3.0,4.0,36.0,2.0,8.0,3.0,39.0,7.0,3.0,36.0,9.0,18.0,17.0,14.0,5.0,10.0,13.0,65.0,4.0,25.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0,3.0,5.0,1.0,5.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.0,0.0,1.0,0.0,32.0,406.0,439.0,1435.0
Other non-ferrous metals,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,7.0,69.0,0.0,0.0,0.0,1.0,0.0,2.0,29.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,6.0,0.0,74.0,2.0,4.0,56.0,18.0,0.0,1.0,2.0,2.0,4.0,5.0,5.0,30.0,6.0,1.0,91.0,29.0,13.0,10.0,27.0,2.0,5.0,7.0,29.0,3.0,20.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,6.0,58.0,54.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,6.0,3.0,0.0,-81.0,1578.0,1505.0,2306.0
Extraction of stone etc,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,5.0,6.0,12.0,92.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,9.0,0.0,4.0,12.0,24.0,248.0
Clay products,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,0.0,0.0,3.0,15.0,18.0,601.0
Cement etc,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,339.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,233.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,654.0,48.0,68.0,0.0,-3.0,15.0,129.0,782.0
