Product,Agriculture,Forestry,Fishing,Coal  extraction,Oil and gas  extraction,Metal ores extraction,Other mining and quarrying,Meat processing,Fish and fruit processing,Oils and fats processing,Dairy products,Grain milling and starch,Animal feed,"Bread,  biscuits, etc",Sugar,Confectionery,Other food products,Alcoholic beverages,Soft drinks & mineral waters,Tobacco products,Textile fibres,Textile weaving,Textile finishing,Made-up textiles,Carpets and rugs,Other textiles,Knitted goods,Wearing apparel & fur products,Leather goods,Footwear,Wood and  wood products,"Pulp, paper and paperboard",Paper and paperboard products,Printing and publishing,"Coke ovens, refined petroleum & nuclear fuel",Industrial gases  and dyes,Inorganic chemicals,Organic chemicals,Fertilisers,Plastics & Synthetic resins etc,Pesticides,"Paints,  varnishes, printing ink etc",Pharma- ceuticals,Soap and toilet preparations,Other Chemical products,Man-made fibres,Rubber products,Plastic products,Glass and glass products,Ceramic goods,Structural clay products,"Cement, lime and plaster","Articles of  concrete,  stone etc",Iron and  steel,Non-ferrous metals,Metal castings,Structural metal products,Metal boilers & radiators,"Metal forging, pressing, etc","Cutlery, tools etc",Other Metal products,Mechanical power equipment,General purpose machinery,Agricultural machinery,Machine tools,Special purpose machinery,Weapons and ammunition,Domestic appliances nec,Office machinery & computers,Electric motors and generators etc,Insulated wire and cable,Electrical equipment nec,Electronic components,"Transmitters for TV, radio and phone",Receivers for TV and radio,Medical and precision  instruments,Motor vehicles,Shipbuilding and repair,Other transport equipment,Aircraft and spacecraft,Furniture,Jewellery & related products,Sports goods and toys,"Miscellaneous manufacturing nec, recycling",Electricity production & distribution,Gas distribution,Water supply,Construction,"Motor vehicle distribution & repair, fuel",Wholesale distribution,Retail distribution,"Hotels, catering, pubs etc",Railway transport,Other land transport,Water transport,Air Transport,Ancillary Transport services,Postal and courier services,Telecom- munications,Banking and finance,Insurance and pension funds  (pt),Auxiliary financial services,Owning and dealing in real estate,Letting of dwellings,Estate agent activities,Renting of machinery etc,Computer services,Research and development (pt),Legal activities,Accountancy services,"Market research, management consultancy",Architectural  activities &  Tech. Consult,Advertising,Other business services  (pt),Public administration & defence  (pt),Education  (pt) ,Health and veterinary services  (pt) ,Social work activities  (pt) ,Sewage and Sanitary services (pt),Membership organisations nec  (pt),Recreational services (pt),Other service activities (pt),Private Households with employed persons,GG -  Public administration & defence (115 pt),GG -  Education  (116 pt),GG -  Health and veterinary services  (117 pt),GG -  Social work activities  (118 pt),GG -  Sewage and Sanitary services (119 pt),GG -  Recreational services  (121 pt),NPISHs -  Insurance and pension funds (101 pt),NPISHs -  Research and development  (108 pt) ,NPISHs -  Other business services  (114 pt) ,NPISHs -  Education  (116 pt) ,NPISHs -  Health and veterinary services (117 pt) ,NPISHs -  Social work activities (118 pt) ,NPISHs -  Membership organisations nec (120 pt) ,NPISHs -  Recreational services  (121 pt) ,NPISHs -  Other service activities  (122 pt) ,FISIM
Agriculture,2786,0,0,0,0,0,0,2947,764,639,3238,879,988,28,715,45,556,59,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,117,0,3,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,103,207,750,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,82,27,0,0,5,32,0,0,10,3,3,7,0,3,0,0,0,43,2,0,3,3,0,0
Forestry,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fishing,0,0,16,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal extraction,0,0,0,150,0,0,0,1,0,11,0,0,2,0,10,1,1,3,0,0,1,0,2,0,1,0,0,0,0,0,0,16,0,0,25,1,8,6,0,1,0,0,0,0,1,1,1,2,0,0,1,48,1,3,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1931,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Oil and gas extraction,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal ores extraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other mining and quarrying,1,0,0,0,0,0,111,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,24,21,5,0,7,14,0,0,17,0,0,0,35,49,8,12,161,2,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,548,0,28,5,9,3,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Meat processing,9,0,1,1,11,0,1,2088,2,6,2,1,180,50,0,1,48,2,1,1,1,0,0,0,0,0,1,18,236,0,2,1,3,8,4,1,1,2,0,2,1,1,9,2,40,0,1,4,1,9,0,0,1,4,2,1,2,1,3,1,2,2,3,1,1,2,0,1,4,2,1,2,1,2,1,3,9,1,0,3,2,0,0,1,10,3,1,10,16,132,418,734,9,14,7,6,13,9,16,20,14,7,0,0,0,2,7,2,5,6,7,7,5,35,0,27,114,20,3,5,42,1,0,86,59,9,30,0,15,0,0,0,14,8,19,3,4,0,0
Fish and fruit processing,10,0,3,0,8,0,1,32,564,0,108,25,73,176,1,7,59,50,49,0,0,0,0,0,0,0,1,2,0,0,1,1,2,6,2,1,0,1,0,1,0,1,2,1,1,0,1,3,1,0,0,0,1,2,1,0,1,0,2,0,1,2,2,0,0,1,0,1,3,1,0,1,1,1,1,2,6,0,0,2,2,0,0,1,7,2,1,6,9,118,247,491,11,9,9,11,23,10,17,25,15,12,0,1,0,1,7,2,7,4,13,6,5,56,0,39,61,29,4,10,85,0,0,49,44,5,16,0,8,0,0,1,20,4,28,6,8,0,0
Oils and fats,1,0,0,0,1,0,0,61,57,269,19,17,85,111,0,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,7,1,15,18,72,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,6,34,39,0,0,3,1,2,4,0,1,0,0,0,0,0,0,1,1,1,1,5,1,0,16,0,7,9,21,0,1,6,2,0,7,2,1,5,0,1,0,0,0,4,1,20,0,1,0,0
