,area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
0,99,U.S.,1,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,14608750480.0,0.1,,,,25.72,530490.0,0.1,10.35,13.02,19.14,30.88,48.57,210530.0,270080.0,390810.0,640240.0,1010020.0,,
1,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,800540120.0,0.2,,,,58.88,1220480.0,0.1,24.03,34.35,50.8,74.16,0.0,490990.0,710460.0,1050660.0,1540260.0,0.0,,
2,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,206580440.0,0.3,,,,61.09,1270070.0,0.2,21.01,31.69,49.63,78.83,0.0,430710.0,650910.0,1030230.0,1630970.0,0.0,,
3,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,2050890.0,0.8,,,,93.2,1930850.0,0.4,29.95,54.23,88.68,0.0,0.0,620290.0,1120790.0,1840460.0,0.0,0.0,,
4,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2050890.0,0.8,,,,93.2,1930850.0,0.4,29.95,54.23,88.68,0.0,0.0,620290.0,1120790.0,1840460.0,0.0,0.0,,
5,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,204000280.0,0.3,,,,59.15,1230030.0,0.2,21.66,31.57,48.45,75.69,0.0,450050.0,650660.0,1000780.0,1570430.0,0.0,,
6,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,204000280.0,0.3,,,,59.15,1230030.0,0.2,21.66,31.57,48.45,75.69,0.0,450050.0,650660.0,1000780.0,1570430.0,0.0,,
7,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,520280.0,2.2,,,,0.0,490440.0,1.3,0.0,0.0,0.0,0.0,0.0,170690.0,190070.0,290270.0,750520.0,1000470.0,1.0,
8,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,520280.0,2.2,,,,0.0,490440.0,1.3,0.0,0.0,0.0,0.0,0.0,170690.0,190070.0,290270.0,750520.0,1000470.0,1.0,
9,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2000,Advertising0 Marketing0 Promotions0 Public Relations0 and Sales Managers,minor,7700540.0,0.5,,,,68.91,1430330.0,0.2,30.74,42.97,61.96,86.06,0.0,630940.0,890380.0,1280870.0,1790010.0,0.0,,
10,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,250100.0,3.0,,,,68.22,1410890.0,1.3,29.77,41.51,60.34,84.59,0.0,610930.0,860330.0,1250510.0,1750940.0,0.0,,
11,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,250100.0,3.0,,,,68.22,1410890.0,1.3,29.77,41.51,60.34,84.59,0.0,610930.0,860330.0,1250510.0,1750940.0,0.0,,
12,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,6660280.0,0.5,,,,69.55,1440660.0,0.2,30.72,43.4,62.84,87.15,0.0,630900.0,900270.0,1300700.0,1810280.0,0.0,,
13,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2630680.0,0.8,,,,71.73,1490200.0,0.3,34.14,46.98,65.79,89.1,0.0,710010.0,970710.0,1360850.0,1850320.0,0.0,,
14,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,4020600.0,0.6,,,,68.12,1410690.0,0.3,28.76,40.94,60.89,85.5,0.0,590810.0,850150.0,1260640.0,1770830.0,0.0,,
15,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,790160.0,1.3,,,,63.77,1320630.0,0.6,31.15,40.76,55.86,77.52,0.0,640790.0,840780.0,1160180.0,1610230.0,0.0,,
16,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,790160.0,1.3,,,,63.77,1320630.0,0.6,31.15,40.76,55.86,77.52,0.0,640790.0,840780.0,1160180.0,1610230.0,0.0,,
17,99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,109960160.0,0.3,,,,64.69,1340550.0,0.2,31.99,42.33,58.15,78.39,0.0,660540.0,880050.0,1200960.0,1630050.0,0.0,,
