"Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"IOCode","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Commodity Output","Imports","CIF/FOB Adjustments on Imports","Total product supply (basic prices)","Trade margins","Transport margins","Total trade and transportation margins","Import duties","Tax on products","Subsidies","Total tax less subsidies on products","Total product supply (purchaser prices)"
"111CA","Farms",392402,21,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",154,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",572,"...",393150,42871,"...",436021,88715,58864,147580,58,5882,-12068,-6128,577472
"113FF","Forestry, fishing, and related activities",5958,56057,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",807,"...","...","...","...",1146,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",127,"...",3338,"...",67433,18273,"...",85706,9996,4372,14368,53,900,"...",953,101028
"211","Oil and gas extraction","...","...",314537,0,73,101,"...","...",5,"...","...","...","...","...","...","...","...","...","...","...","...","...","...",21,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",84,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",314819,174017,"...",488836,12162,55799,67961,139,13429,"...",13569,570365
"212","Mining, except oil and gas","...","...",80,83388,62,"...","...","...",658,"...","...","...","...","...","...","...","...","...","...","...","...","...","...",207,4,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",657,"...",85056,0,"...",85057,8458,31020,39478,4,3625,"...",3628,128163
"213","Support activities for mining","...","...",53279,5792,97294,"...","...","...",1,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",156367,742,"...",157109,"...","...","...","...",0,"...",0,157109
"22","Utilities","...","...","...","...","...",470055,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",156,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",65,14084,1224,136587,622170,2491,"...",624661,"...","...","...","...",31458,"...",31458,656119
"23","Construction","...",744,740,10404,6323,2662,1605712,524,688,186,1627,607,47,64,453,676,331,1399,150,41,0,70,11,242,120,87,4427,7,0,2107,6016,57,151,1,25,1,81,132,66,20,48,1199,948,3,1,3,0,20440,763,54,2,7,541,78,1150,1,682,384,1259,39,115,581,515,1729,741,469,4,281,"...",20738,"...",1699775,"...","...",1699775,"...","...","...","...",1936,"...",1936,1701712
"321","Wood products",12,"...","...","...","...","...","...",112642,1,"...",249,"...",2,"...","...","...",420,48,"...","...","...",139,"...","...",0,137,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",215,"...",113864,22973,"...",136838,35105,8447,43552,367,3733,"...",4099,184489
"327","Nonmetallic mineral products","...","...","...",405,"...","...","...",296,127666,6,149,186,31,41,4,"...",186,66,"...","...","...",157,"...",229,24,201,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",129647,28186,"...",157833,46656,25883,72539,1036,5366,"...",6401,236773
"331","Primary metals","...","...","...","...","...","...","...","...","...",248524,3431,31,27,1213,25,0,8,81,"...",2,"...",1,"...","...",96,31,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1,"...","...","...",253471,86901,"...",340373,36403,13050,49453,4721,1471,"...",6192,396018
"332","Fabricated metal products","...","...",21,"...",832,"...","...",356,229,1308,370521,2934,203,309,750,362,275,329,"...",108,"...",7,100,"...",122,469,10,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",379245,72924,"...",452169,110200,12657,122857,2617,10764,"...",13381,588407
"333","Machinery","...","...",195,"...","...","...","...","...",3,247,3627,371729,708,439,1521,1556,68,167,"...",28,"...","...","...",0,238,600,542,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2,"...","...","...","...",381672,181648,"...",563320,180087,16012,196100,3313,11555,"...",14867,774287
"334","Computer and electronic products","...","...","...","...","...","...","...","...",0,0,599,1163,307485,995,45,1561,0,557,"...","...","...",731,54,"...",974,136,149,"...","...","...","...","...","...","...","...","...","...","...","...","...",10,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",314461,358807,"...",673268,235868,9786,245654,2970,15415,"...",18386,937308
"335","Electrical equipment, appliances, and components","...","...","...","...","...","...","...","...",303,777,269,1459,803,127409,69,109,1,69,"...","...","...","...","...",4,126,90,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",131489,110122,"...",241611,109565,7867,117432,3610,9326,-261,12676,371719
"3361MV","Motor vehicles, bodies and trailers, and parts","...","...","...","...","...","...","...","...",0,"...",1776,1178,18,339,729952,89,1,47,"...",25,"...","...","...","...",0,252,376,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",734055,343198,"...",1077252,205697,16039,221736,4856,30519,"...",35376,1334364
"3364OT","Other transportation equipment","...","...","...","...","...","...","...","...",7,"...",771,328,4620,77,653,315213,"...",327,"...",1,"...","...","...","...",2,332,13,"...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",322344,60183,"...",382527,27479,4117,31596,505,2048,"...",2553,416676
